rental_id,car_id,checkin_type,state,delay,previous_id,time_delta,previous_delay
546958,405005,connect,canceled,,546959.0,570.0,38.0
547783,194343,connect,ended,-61.0,545064.0,30.0,74.0
551327,376626,mobile,ended,-207.0,538892.0,660.0,19.0
549269,375307,mobile,ended,39.0,535903.0,720.0,67.0
551081,341630,mobile,ended,731.0,549811.0,690.0,114.0
561749,304775,connect,canceled,,558858.0,510.0,18.0
560466,404731,mobile,ended,1250.0,556577.0,0.0,287.0
560754,412378,mobile,ended,146.0,560199.0,240.0,108.0
561590,270867,connect,ended,22.0,554496.0,510.0,89.0
562498,351258,mobile,ended,-20.0,544878.0,630.0,29.0
552224,393799,mobile,ended,290.0,531793.0,120.0,39.0
553100,412093,mobile,ended,67.0,557175.0,120.0,74.0
554605,265239,connect,ended,-431.0,551587.0,90.0,12.0
540124,380859,mobile,ended,26.0,539717.0,150.0,164.0
541160,380833,mobile,ended,-22.0,556918.0,60.0,35.0
553964,381012,mobile,ended,-707.0,547734.0,720.0,83.0
568111,205041,mobile,canceled,,564302.0,390.0,41.0
569087,193097,connect,canceled,,566731.0,0.0,252.0
569932,321322,mobile,ended,64.0,570206.0,0.0,13.0
567038,407465,connect,ended,-3.0,566140.0,180.0,41.0
567347,328263,mobile,ended,-59.0,565243.0,150.0,10.0
567859,310918,connect,ended,-14.0,562013.0,600.0,15.0
568031,394043,mobile,ended,665.0,565470.0,120.0,15.0
571752,402235,mobile,ended,34.0,557648.0,0.0,91.0
575013,293910,mobile,ended,-15.0,563147.0,630.0,12.0
568757,379316,mobile,ended,-5.0,567008.0,480.0,6.0
555952,363386,mobile,ended,-8.0,555902.0,300.0,131.0
556334,350149,mobile,ended,228.0,545622.0,330.0,105.0
558627,305525,connect,ended,8.0,559997.0,0.0,6.0
559139,383110,connect,ended,219.0,558448.0,570.0,64.0
560901,256882,mobile,ended,4.0,560362.0,480.0,14.0
542651,336314,mobile,ended,78.0,535888.0,60.0,7.0
543005,396483,connect,ended,-152.0,542616.0,0.0,4.0
543497,341119,connect,ended,2.0,543297.0,30.0,66.0
544075,353270,mobile,ended,-2.0,533945.0,150.0,130.0
544367,381684,mobile,ended,41.0,543618.0,210.0,10.0
548079,364890,mobile,canceled,,547164.0,450.0,597.0
